2018-11-07 18:59:09,028 INFO  - HHH000412: Hibernate Core {5.2.16.Final}
2018-11-07 18:59:09,037 INFO  - HHH000206: hibernate.properties not found
2018-11-07 18:59:09,850 INFO  - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-11-07 18:59:10,291 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 18:59:10,379 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:online_shop;INIT=CREATE SCHEMA IF NOT EXISTS shop]
2018-11-07 18:59:10,380 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 18:59:10,380 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 18:59:10,387 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 18:59:11,404 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 18:59:14,887 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@18524c3] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 18:59:14,913 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@2f1e9a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 18:59:15,058 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@13c423e'
